invoice_id,invoice_line_id,project,invoice_status,usage_fee
3624999,3659387,H,CANCELLED,0.19
3630092,3664708,D,CANCELLED,0.76
3794145,3835555,D,CANCELLED,0.95
3716880,3755321,D,CANCELLED,1.33
3683896,3720701,D,CANCELLED,1.9
3630970,3665637,G,CANCELLED,4.82357955
3620440,3654627,D,CANCELLED,5.51
3792033,3833343,B,CANCELLED,6.45
3856790,3900858,H,CANCELLED,6.9
3789433,3830546,I,CANCELLED,7.3649024
3718165,3756685,D,CANCELLED,7.9
3816595,3858854,C,CANCELLED,8.4
3698294,3735862,D,CANCELLED,9.99
3713652,3751968,D,CANCELLED,9.99
3630970,3665638,G,CANCELLED,10.0666008
3891630,3937264,B,CANCELLED,10.35
3587026,3620009,F,CANCELLED,15
3856761,3900828,H,CANCELLED,19.9
3820022,3862497,D,CANCELLED,20.09
3891596,3937227,H,CANCELLED,21.9
3718572,3757129,D,CANCELLED,34.58
3907293,3953460,B,CANCELLED,38.7
3788216,3829291,D,CANCELLED,40.28
3819980,3862449,D,CANCELLED,60
3805056,3846933,D,CANCELLED,60
3851462,3895316,D,CANCELLED,61.94
3882609,3927888,D,CANCELLED,69.54
3690267,3727358,D,CANCELLED,72.01
3755303,3795047,D,CANCELLED,78.09
3792336,3833672,D,CANCELLED,87.97
3700555,3738244,B,CANCELLED,167
3820046,3862526,E,CANCELLED,199.92
57856419,81483698,D,Cancel,0.19
58280855,81992995,D,Cancel,0.19
58316864,82040659,D,Cancel,0.57
58286419,82008014,D,Cancel,0.76
58163330,81869233,D,Cancel,0.99
57840787,81468569,D,Cancel,0.99
57928834,81576730,D,Cancel,0.99
57899897,81543771,D,Cancel,0.99
57840787,81467994,D,Cancel,0.99
58067450,81748039,D,Cancel,0.99
58163267,81864619,D,Cancel,0.99
58056430,81735105,D,Cancel,0.99
58433609,82183358,D,Cancel,0.99
58128775,81829148,D,Cancel,0.99
57928834,81579363,D,Cancel,0.99
57840787,81465758,D,Cancel,0.99
58067450,81746666,D,Cancel,0.99
58163330,81869662,D,Cancel,0.99
58067450,81749001,D,Cancel,0.99
58394415,82139919,D,Cancel,0.99
57899897,81537149,D,Cancel,0.99
58163235,81854220,D,Cancel,0.99
58163330,81867806,D,Cancel,0.99
57928834,81574448,D,Cancel,0.99
58284776,82004913,D,Cancel,0.99
57899897,81546103,D,Cancel,0.99
57978630,81638762,D,Cancel,0.99
57928834,81563068,D,Cancel,0.99
58284776,82010338,D,Cancel,0.99
58067450,81742256,D,Cancel,0.99
58163267,81867603,D,Cancel,0.99
58067610,81746034,D,Cancel,0.99
58163330,81867517,D,Cancel,1.98
16480143,23313713,E,Cancel,1.99
10088300,13817265,B,Cancel,1.99
9969902,13673061,B,Cancel,1.99
16515514,23355185,E,Cancel,1.99
10088300,13816959,B,Cancel,1.99
16527879,23370334,E,Cancel,1.99
30239045,39978089,A,Cancel,2.717544115
58036693,81693251,D,Cancel,2.85
58548930,82331305,D,Cancel,2.97
58579952,82371378,D,Cancel,2.97
8767168,10988339,F,Cancel,3
8767168,10989110,F,Cancel,3
58514087,82281083,D,Cancel,3
8767168,10988700,F,Cancel,3
58000243,81648736,D,Cancel,3.5
57789202,81388547,D,Cancel,3.5
58000243,81649906,D,Cancel,3.5
3967289,5782317,G,Cancel,3.590655
58284776,82012584,D,Cancel,3.96
58579952,82357607,D,Cancel,3.96
58548930,82321802,D,Cancel,3.96
58394415,82129768,D,Cancel,3.96
58391656,82148055,D,Cancel,3.96
16466727,23293050,E,Cancel,3.98
57871048,81484514,D,Cancel,3.99
30121029,39845483,A,Cancel,4.341165675
16446022,23274184,E,Cancel,5
58094056,81768973,D,Cancel,5.9
58094056,81776303,D,Cancel,5.9
58094056,81766645,D,Cancel,5.9
58094056,81785805,D,Cancel,5.9
58134557,81826617,D,Cancel,6.08
10100289,13829587,B,Cancel,6.45
3884002,5426394,I,Cancel,6.70418035
3886679,5428820,I,Cancel,6.70418035
3876560,5416821,I,Cancel,6.7136325199999991
3876240,5416271,I,Cancel,6.7136325199999991
3876317,5416406,I,Cancel,6.7136325199999991
3882669,5423946,I,Cancel,6.7155032
3880934,5422939,I,Cancel,6.7155032
3882188,5423038,I,Cancel,6.7155032
3879199,5419754,I,Cancel,6.73445038
3869604,5408951,I,Cancel,6.74727382
3869881,5409396,I,Cancel,6.74727382
3871802,5411490,I,Cancel,6.74727382
3867101,5406547,I,Cancel,6.75906672
3889950,5432515,I,Cancel,6.7730944399999995
3890490,5433465,I,Cancel,6.7730944399999995
3887787,5430898,I,Cancel,6.7730944399999995
3865980,5404499,I,Cancel,6.78483617
3853215,5388964,I,Cancel,6.78923441
3856037,5392883,I,Cancel,6.7900055299999993
3906367,5452852,I,Cancel,6.79177982
3906366,5452851,I,Cancel,6.79177982
3906562,5453187,I,Cancel,6.79177982
3858634,5395646,I,Cancel,6.79596743
3857749,5394095,I,Cancel,6.79596743
3902144,5447557,I,Cancel,6.7986723
3902338,5447940,I,Cancel,6.7986723
3899403,5444402,I,Cancel,6.7986723
3898315,5442436,I,Cancel,6.80601579
3898894,5443521,I,Cancel,6.80601579
3895672,5439008,I,Cancel,6.81117682
3922679,5471814,I,Cancel,6.86159831
3922706,5471870,I,Cancel,6.86159831
3902838,5448845,I,Cancel,6.8626431299999995
58467337,82224790,D,Cancel,6.9
58280855,82011102,D,Cancel,6.9
58433972,82190411,D,Cancel,6.9
58280855,82012325,D,Cancel,6.9
16568925,23414040,E,Cancel,7
30452043,40216619,A,Cancel,8.3278503
30372515,40129452,A,Cancel,8.74067502
57840787,81448479,D,Cancel,8.99
16527879,23368734,E,Cancel,9
16549707,23391137,E,Cancel,9
16501341,23336486,E,Cancel,9
16485870,23320657,E,Cancel,9
16466574,23296828,E,Cancel,9
16527879,23366955,E,Cancel,9
16555771,23403209,E,Cancel,9
16532304,23371680,E,Cancel,9
16480143,23312218,E,Cancel,9
16480143,23313673,E,Cancel,9
16466574,23296497,E,Cancel,9
16501341,23337928,E,Cancel,9
16527879,23370335,E,Cancel,9
16466727,23292750,E,Cancel,9
16555771,23403486,E,Cancel,9
16554794,23403848,E,Cancel,9.95
57856419,81486294,D,Cancel,9.99
57856419,81488069,D,Cancel,9.99
58036693,81702430,D,Cancel,9.99
58467337,82220661,D,Cancel,9.99
57814000,81433011,D,Cancel,9.99
58350177,82093736,D,Cancel,10.45
58665657,82449243,D,Cancel,10.5
58284892,81994118,D,Cancel,11.02
9969902,13674307,B,Cancel,11.49
57932003,81581024,D,Cancel,11.8
58386781,82119887,D,Cancel,12
58163148,81847724,D,Cancel,13.99
16532388,23373359,E,Cancel,13.99
58056430,81733710,D,Cancel,13.99
58067450,81744205,D,Cancel,13.99
58056430,81733246,D,Cancel,13.99
57928834,81577728,D,Cancel,13.99
58669688,82476004,D,Cancel,13.99
57778128,81381789,D,Cancel,16
58348623,82082593,D,Cancel,16
3855298,5391520,I,Cancel,17.06060213
58001287,81655891,D,Cancel,17.7
30044900,39749030,A,Cancel,24.9959292
57912268,81555028,D,Cancel,25.74
30457256,40223170,A,Cancel,27.014733900000003
58297448,82025240,D,Cancel,28.5
58032004,81710379,D,Cancel,29.2
58350177,82100048,D,Cancel,30.4
57806886,81430387,D,Cancel,38.38
58191220,81904971,D,Cancel,42.56
30049717,39757097,A,Cancel,46.65906784
58594530,82386167,D,Cancel,47.69
1297498,1633062,H,Cancel,54.6
30385390,40141773,A,Cancel,59.72794597
58063369,81749378,D,Cancel,62.7
3886251,5684031,G,Cancel,62.73725029
3890888,5690127,G,Cancel,62.890576210000006
3905817,5708370,G,Cancel,63.52875936
58001287,81670753,D,Cancel,64.9
30046736,39758096,A,Cancel,73.52969173
58386815,82139745,D,Cancel,80
57836523,81470781,D,Cancel,80
58266554,81987355,D,Cancel,80
57976676,81640234,D,Cancel,80
58280855,82013685,D,Cancel,80
58311695,82052685,D,Cancel,80
58220665,81939203,D,Cancel,80
58665657,82478992,D,Cancel,80
30375735,40129585,A,Cancel,87.82297282
58480180,82251572,D,Cancel,95
30401565,40162825,A,Cancel,126.40996
30217950,39962237,A,Cancel,130.656186
58332701,82068869,D,Cancel,200
3652032,3687677,B,HOLD_PAID,3.9
3673209,3709491,C,HOLD_PAID,4.9
3780405,3821214,D,HOLD_PAID,7.9
3631419,3666131,D,HOLD_PAID,7.9
3881242,3926397,D,HOLD_PAID,7.9
3740321,3779438,D,HOLD_PAID,7.9
3877510,3922461,D,HOLD_PAID,7.9
3590596,3623695,D,HOLD_PAID,7.9
3795772,3837237,D,HOLD_PAID,7.9
3649108,3684627,D,HOLD_PAID,7.9
3698328,3735899,D,HOLD_PAID,9.99
3667224,3703264,D,HOLD_PAID,9.99
3717715,3756200,D,HOLD_PAID,9.99
3812711,3854833,D,HOLD_PAID,9.99
3680932,3717555,D,HOLD_PAID,9.99
3668847,3704943,D,HOLD_PAID,9.99
3797474,3838995,D,HOLD_PAID,9.99
3587160,3620146,D,HOLD_PAID,9.99
3626748,3661210,D,HOLD_PAID,9.99
3712499,3750774,D,HOLD_PAID,9.99
3739663,3778748,D,HOLD_PAID,9.99
3804279,3846070,D,HOLD_PAID,9.99
3737746,3776774,D,HOLD_PAID,9.99
3705609,3743530,D,HOLD_PAID,9.99
3810696,3852745,D,HOLD_PAID,9.99
3802787,3844502,D,HOLD_PAID,9.99
3634447,3669287,D,HOLD_PAID,9.99
3831964,3874816,D,HOLD_PAID,9.99
3726461,3765239,D,HOLD_PAID,9.99
3605999,3639550,D,HOLD_PAID,9.99
3603348,3636812,D,HOLD_PAID,9.99
3640024,3675099,D,HOLD_PAID,9.99
3601303,3634677,D,HOLD_PAID,9.99
3629987,3664599,D,HOLD_PAID,9.99
3751627,3791201,D,HOLD_PAID,9.99
3783457,3824385,D,HOLD_PAID,9.99
3835400,3878417,D,HOLD_PAID,9.99
3671302,3707521,D,HOLD_PAID,9.99
3723826,3762538,D,HOLD_PAID,9.99
3603063,3636511,D,HOLD_PAID,9.99
3613528,3647441,D,HOLD_PAID,9.99
3691327,3728481,D,HOLD_PAID,9.99
3712426,3750701,D,HOLD_PAID,9.99
3822276,3864799,D,HOLD_PAID,9.99
3672739,3709007,D,HOLD_PAID,9.99
3848894,3892558,K,Paid,0.1
3718721,3757290,K,Paid,0.1
3638561,3673561,D,Paid,0.19
58133207,81825369,D,Paid,0.19
57956501,81610060,D,Paid,0.19
3637339,3672288,D,Paid,0.19
3870623,3915185,D,Paid,0.19
3805352,3847246,D,Paid,0.19
58155241,81853854,D,Paid,0.19
3682410,3719108,D,Paid,0.19
58069274,81747809,D,Paid,0.19
3849422,3893106,D,Paid,0.19
58006779,81657630,D,Paid,0.19
3869614,3914137,D,Paid,0.19
58133839,81822183,D,Paid,0.19
58354044,82092024,D,Paid,0.19
58394694,82142191,D,Paid,0.19
3838041,3881171,D,Paid,0.19
58355500,82063212,D,Paid,0.19
3786429,3827455,D,Paid,0.19
3631914,3666669,D,Paid,0.19
58520615,82290307,D,Paid,0.19
3711810,3750056,D,Paid,0.19
58434143,82180882,D,Paid,0.19
3872502,3917215,D,Paid,0.19
3707403,3745410,D,Paid,0.19
3712837,3751126,D,Paid,0.19
58005425,81650340,D,Paid,0.19
3677639,3714130,D,Paid,0.19
3731101,3769998,D,Paid,0.19
58581234,82354331,D,Paid,0.19
58355360,82076508,D,Paid,0.19
3698500,3736074,D,Paid,0.19
58100594,81793734,D,Paid,0.19
58489881,82261063,D,Paid,0.19
3600172,3633494,D,Paid,0.19
3682717,3719435,D,Paid,0.19
3802205,3843906,D,Paid,0.19
3710500,3748705,D,Paid,0.19
3766808,3807062,D,Paid,0.19
3849045,3892716,D,Paid,0.19
3718506,3757056,D,Paid,0.19
57901525,81544656,D,Paid,0.19
58490343,82251445,D,Paid,0.19
3618038,3652131,D,Paid,0.19
3787115,3828162,D,Paid,0.19
3645127,3680470,D,Paid,0.19
3850715,3894500,D,Paid,0.19
3614858,3648839,D,Paid,0.19
